icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,climb_rate,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
B753,753,Boeing,757-300,L2J,M,42000,,,143,461,496,,,3.76,13.60,54.40,185.25,38.00,,,43400,3400,,64340,,101605,124057,123830,95254,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima205
B762,762,Boeing,767-200,L2J,H,43100,,,135,486,,,5.41,5.03,,48.50,283.30,47.60,,,63000,3900,,80100,,129274,175994,175540,117934,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima035
B763,763,Boeing,767-300,L2J,H,43100,,,140,486,,,5.41,5.03,,54.90,283.30,47.60,,,63000,3900,,86100,,145149,185519,184612,130634,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima035
B764,764,Boeing,767-400,L2J,H,43100,,,150,486,,,5.41,5.03,,61.40,290.70,51.90,,,91000,5625,,103900,,158757,204569,204116,149685,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima035
B772,772,Boeing,777-200,L2J,H,43100,,,136,482,511,,6.20,6.20,18.50,63.73,427.80,60.93,,,117340,5240,,135850,,201848,248115,247207,190508,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima003
B773,773,Boeing,777-300,L2J,H,43100,,,140,482,511,,6.20,6.20,18.50,73.86,427.80,60.93,,,171171,6030,,160530,,237682,300278,299370,224528,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima003
B778,778,Boeing,777-8,L2J,H,43100,,,,,,,6.20,6.20,19.48,69.80,516.70,71.75,,,198000,8730,,,,,,351500,,
B779,779,Boeing,777-9,L2J,H,43100,,,,,,,6.20,6.20,19.68,76.73,516.70,71.75,,,198000,7285,,180000,,266000,,351500,256000,
B77L,77L,Boeing,777-200LR,L2J,H,43100,,,,482,511,,6.20,6.20,18.60,63.73,436.80,64.80,,,181283,8555,,145150,,223167,341101,340194,209106,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima003
B77W,77W,Boeing,777-300ER,L2J,H,43100,,,149,482,511,,6.20,6.20,18.50,73.86,436.80,64.80,,,181283,7370,,167829,,251290,341101,340194,239250,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima003
