icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,rate_of_climb,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
P8,,Boeing,P-8A Poseidon,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
PA11,,Piper,PA-11 Cub Special,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA12,,Piper,PA-12 Super Cruiser,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA14,,Piper,PA-14 Family Cruiser,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA15,,Piper,PA-15 Vagabond,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA16,,Piper,PA-16 Clipper,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA17,,Piper,PA-17 Vagabond,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA18,,Piper,PA-18 Super Cub,L1P,L,,,,48,,,,,,,,,,,,,,,,,,,,,
PA20,,Piper,PA-20 Pacer,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA22,,Piper,PA-22 Colt/Tri-Pacer,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA23,,Piper,PA-23 Apache,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA24,,Piper,PA-24 Comanche,L1P,L,,,,75,,,,,,,,,,,,,,,,,,,,,
PA25,,Piper,PA-25 Pawnee,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA27,,Piper,PA-23 Aztec,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA30,,Piper,PA-30 Twin Comanche,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA31,PA2,Piper,PA-31 Navajo,L2P,L,,,,79,,,,,,,,,,,,,,,,,,,,,
PA32,,Piper,PA-32 Cherokee Six/Saratoga,L1P,L,,,,78,,,,,,,,,,,,,,,,,,,,,
PA34,,Piper,PA-34 Seneca,L2P,L,,,,81,,,,,,,,,,,,,,,,,,,,,
PA36,,Piper,PA-36 Pawnee Brave,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA38,,Piper,PA-38 Tomahawk,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PA44,,Piper,PA-44 Seminole,L2P,L,,,,66,,,,,,,,,,,,,,,,,,,,,
PA46,PAG,Piper,PA-46 Malibu,L1P,L,,,,75,,,,,,,,,,,,,,,,,,,,,
PA47,,Piper,PA-47 PiperJet,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
PAT4,,Piper,PA-31T3 Cheyenne,L2T,L,,,,100,,,,,,,,,,,,,,,,,,,,,
PAY1,,Piper,PA-31T Cheyenne,L2T,L,,,,92,,,,,,,,,,,,,,,,,,,,,
PAY2,,Piper,PA-31T Cheyenne II,L2T,L,,,,98,,,,,,,,,,,,,,,,,,,,,
PAY3,,Piper,PA-42 Cheyenne III,L2T,L,,,,113,,,,,,,,,,,,,,,,,,,,,
PAY4,,Piper,PA-42 Cheyenne IV,L2T,L,,,,109,,,,,,,,,,,,,,,,,,,,,
PC12,PL2,Pilatus,PC-12,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
PC21,,Pilatus,PC-21,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
PC24,PL4,Pilatus,PC-24,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
PC6P,,Pilatus,PC-6 Porter,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PC6T,PL6,Pilatus,PC-6 Turbo Porter,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
PC7,,Pilatus,PC-7 Turbo Trainer,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,,Pilatus,PC-9,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
PILL,,ENAER,T-35 Pillán,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PP2,,Pilatus,P-2,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
PP3,,Pilatus,P-3,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,,Northrop Grumman,RQ-4 Global Hawk,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
R135,,Boeing,RC-135,L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
R4,,Sikorsky,R-4 Hoverfly,H1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
R721,,Boeing,727-100RE Super 27,L3J,M,,,,,,,,,,,,,,,,,,,,,,,,,
R722,,Boeing,727-200RE Super 27,L3J,M,,,,,,,,,,,,,,,,,,,,,,,,,
RALL,,Morane-Saulnier,Rallye,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
RFAL,,Dassault,Rafale,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
RJ1H,AR1,Avro,RJ-100 Avroliner,L4J,M,35000,,,121,404,426,,,,8.61,26.19,77.30,26.34,,,11728,2090,,23820,,32817,34700,34473,29483,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa182
RJ70,AR7,Avro,RJ-70 Avroliner,L4J,M,35000,,,122,404,426,,,,8.61,28.55,77.30,26.34,,,11728,1970,,24600,,35153,40823,40596,32204,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa182
RJ85,AR8,Avro,RJ-85 Avroliner,L4J,M,35000,,,123,404,426,,,,8.61,31.00,77.30,26.34,,,11728,1800,,25640,,37648,43318,43091,35153,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa182
S108,,Stinson,108,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
S2P,,Grumman,S-2 Tracker,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
S2T,,Grumman,S-2 Turbo Tracker,L2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
S3,,Lockheed,S-3 Viking,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
S330,,Schweizer,S-333,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
S38,,Sikorsky,S-38,A2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
S39,,Sikorsky,S-39,A1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
S434,,Sikorsky,S-434,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
S51,,Sikorsky,H-5,H1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
S52,,Sikorsky,S-52,H1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
S55P,,Sikorsky,S-55/H-19 Chickasaw,H1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
S55T,,Sikorsky,S-55T,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
S58P,,Sikorsky,S-58/H-34,H1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
S58T,S58,Sikorsky,S-58T,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
S61,S61,Sikorsky,S-61/SH-3 Sea King,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
S61R,,Sikorsky,S-61R/HH-3 Pelican,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
S62,,Sikorsky,S-62/HH-52 Seaguard,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
S64,,Sikorsky,S-64 Skycrane/CH-54 Tarhe,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
S76,S76,Sikorsky,S-76/H-76 Eagle,H2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
S92,S92,Sikorsky,S-92/H-92 Superhawk,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
S97,,Sikorsky,S-97 Raider,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
SAVA,,Sadler,Vampire,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
SBD,,Douglas,SBD Dauntless,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
SF50,,Cirrus,SF50 Vision,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
SGUP,,Aero Spacelines,B377SGT Super Guppy,L4T,L,,,,,,,,,,,,,,,,,,,,,,,,,
SHAC,,Avro,696 Shackleton,L4P,M,,,,,,,,,,,,,,,,,,,,,,,,,
SMB2,,Dassault,Super Mystère B2,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
SR20,,Cirrus,SR20,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
SR22,,Cirrus,SR22,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
SR71,,Lockheed,SR-71 Blackbird,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
ST75,,Boeing-Stearman,Model 75,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
SUCO,,Bell,YAH-63 SuperCobra,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
T134,TU3,Tupolev,Tu-134,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
T144,,Tupolev,Tu-144,L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
T154,TU5,Tupolev,Tu-154,L3J,M,,,,,,,,,,,,,,,,,,,,,,,,,
T160,,Tupolev,Tu-160,L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
T204,T20,Tupolev,Tu-204,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
T206,,Cessna,T206 Turbo Stationair,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
T210,,Cessna,T210 Turbo Centurion,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
T22M,,Tupolev,Tu-22M,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
T33,,Lockheed,T-33 Shooting Star,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
T334,,Tupolev,Tu-334,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
T34P,,Beechcraft,T-34 Mentor,L1P,L,,,,69,,,,,,,,,,,,,,,,,,,,,
T34T,,Beechcraft,T-34C Turbo Mentor,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
T37,,Cessna,T-37 Tweet,L2J,L,,,,,,,,,,,,,,,,,,,,,,,,,
T38,,Northrop,T-38 Talon,L2J,L,,,,,,,,,,,,,,,,,,,,,,,,,
T50,,Cessna,T-50,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
TBM,,Grumman,TBM Avenger,L1P,M,,,,,,,,,,,,,,,,,,,,,,,,,
TCAT,,Grumman,F7F Tigercat,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
TIGR,,Airbus Helicopters,Tigre,H2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
TPIL,,ENAER,T-35DT Turbo Pillán,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
TU16,,Tupolev,Tu-16,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
TU22,,Tupolev,Tu-22,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
TU4,,Tupolev,Tu-4,L4T,M,,,,,,,,,,,,,,,,,,,,,,,,,
TU95,,Tupolev,Tu-95,L4T,H,,,,,,,,,,,,,,,,,,,,,,,,,
TUCA,,Embraer,EMB-312 Tucano,L1T,L,,,,87,,,,,,,,,,,,,,,,,,,,,
TUTR,,Avro,621 Tutor,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
U16,,Grumman,HU-16 Albatross,A2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
U2,,Lockheed,U-2,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
U21,,Beechcraft,U-21 Ute,L2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
UH1,,Bell,204/UH-1 Iroquois,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
UH1Y,,Bell,UH-1Y Venom,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
V1,,Grumman,OV-1 Mohawk,L2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
V22,,Bell/Boeing,V-22 Osprey,T2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
VAMP,,De Havilland,DH-100 Vampire,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
VC10,,Vickers,VC-10,L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
VF35,,Lockheed Martin,F-35B Lightning II,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
VNOM,,De Havilland,DH-112 Venom,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
WCAT,,Grumman,F4F Wildcat,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
WSP,,Australian Aircraft Kits,Wasp,L1P,L,,,,46,,,,,,,,,,,,,,,,,,,,,
X2,,Sikorsky,X-2,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
X29,,Grumman,X-29,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
X32,,Boeing,X-32,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
X47B,,Northrop Grumman,X-47B,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
X49,,Piasecki,X-49 SpeedHawk,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
X55,,Lockheed Martin,X-55 ACCA,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
XV15,,Bell,XV-15,T2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
Y112,,Yakovlev,Yak-112,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
Y130,,Yakovlev,Yak-130,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
Y141,,Yakovlev,Yak-141,L3J,M,,,,,,,,,,,,,,,,,,,,,,,,,
Y18T,,Yakovlev,Yak-18T,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YAK3,,Yakovlev,Yak-3,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YAK9,,Yakovlev,Yak-9,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK11,,Yakovlev,Yak-11,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK12,,Yakovlev,Yak-12,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK18,,Yakovlev,Yak-18,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK28,,Yakovlev,Yak-28,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
YK30,,Yakovlev,Yak-30,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK38,,Yakovlev,Yak-38,L3J,M,,,,,,,,,,,,,,,,,,,,,,,,,
YK40,YK4,Yakovlev,Yak-40,L3J,M,,,,,,,,,,,,,,,,,,,,,,,,,
YK42,YK2,Yakovlev,Yak-42,L3J,M,,,,,,,,,,,,,,,,,,,,,,,,,
YK50,,Yakovlev,Yak-50,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK52,,Yakovlev,Yak-52,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK53,,Yakovlev,Yak-53,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK54,,Yakovlev,Yak-54,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK55,,Yakovlev,Yak-55,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
YK58,,Yakovlev,Yak-58,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
Z22,,Zlín,Z-22 Junak,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
Z26,,Zlín,Z-26 Trener,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
Z37P,,Zlín,Z-37 Čmelák,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
Z37T,,Zlín,Z-37T Agro-Turbo,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
Z42,,Zlín,Z-42,L1P,L,,,,,,,,,,,,,,,,,,,,,970,,970,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa027
Z43,,Zlín,Z-43,L1P,L,,,,,,,,,,,,,,,,,,,,,1280,,1350,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa028
Z50,,Zlín,Z-50,L1P,L,,,,,,,,,,,,,,,,,,,,,800,,800,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa108
